Spot,Time,Growth_normalized
PRB16_20,2440,10144
PRB16_20,2486,10543
PRB16_20,2532,11009
PRB16_20,2578,11346
PRB16_20,2624,11736
PRB16_20,2670,12092
PRB16_20,2716,12452
PRB16_20,2762,12902
PRB16_21,0,0
PRB16_21,46,0
PRB16_21,92,0
PRB16_21,138,0
PRB16_21,184,0
PRB16_21,230,0
PRB16_21,276,0
PRB16_21,322,53
PRB16_21,368,8
PRB16_21,414,35
PRB16_21,460,3
PRB16_21,506,0
PRB16_21,552,31
PRB16_21,598,148
PRB16_21,644,157
PRB16_21,690,271
PRB16_21,736,290
PRB16_21,782,443
PRB16_21,828,498
PRB16_21,874,676
PRB16_21,920,776
PRB16_21,967,983
PRB16_21,1013,1096
PRB16_21,1059,1321
PRB16_21,1105,1517
PRB16_21,1151,1814
PRB16_21,1197,2188
PRB16_21,1243,2409
PRB16_21,1289,2716
PRB16_21,1335,2921
PRB16_21,1381,3230
PRB16_21,1427,3446
PRB16_21,1473,3593
PRB16_21,1519,3850
PRB16_21,1565,4172
PRB16_21,1611,4367
PRB16_21,1657,4616
PRB16_21,1703,4715
PRB16_21,1749,5160
PRB16_21,1795,5381
PRB16_21,1841,5653
PRB16_21,1888,5998
PRB16_21,1934,6273
PRB16_21,1980,6679
PRB16_21,2026,7068
PRB16_21,2072,7430
PRB16_21,2118,7786
PRB16_21,2164,8175
PRB16_21,2210,8440
PRB16_21,2256,8809
PRB16_21,2302,9034
PRB16_21,2348,9350
PRB16_21,2394,9702
PRB16_21,2440,10053
PRB16_21,2486,10318
PRB16_21,2532,10754
PRB16_21,2578,11018
PRB16_21,2624,11373
PRB16_21,2670,11657
PRB16_21,2716,11974
PRB16_21,2762,12274
PRB16_22,0,0
PRB16_22,46,0
PRB16_22,92,0
PRB16_22,138,0
PRB16_22,184,0
PRB16_22,230,0
PRB16_22,276,0
PRB16_22,322,8
PRB16_22,368,0
PRB16_22,414,17
PRB16_22,460,2
PRB16_22,506,5
PRB16_22,552,28
PRB16_22,598,71
PRB16_22,644,80
PRB16_22,690,106
PRB16_22,736,137
PRB16_22,782,164
PRB16_22,828,196
PRB16_22,874,238
PRB16_22,920,232
PRB16_22,967,300
PRB16_22,1013,311
PRB16_22,1059,392
PRB16_22,1105,458
PRB16_22,1151,520
PRB16_22,1197,564
PRB16_22,1243,595
PRB16_22,1289,615
PRB16_22,1335,631
PRB16_22,1381,675
PRB16_22,1427,736
PRB16_22,1473,801
PRB16_22,1519,865
PRB16_22,1565,931
PRB16_22,1611,1036
PRB16_22,1657,1226
PRB16_22,1703,1224
PRB16_22,1749,1245
PRB16_22,1795,1278
PRB16_22,1841,1343
PRB16_22,1888,1403
PRB16_22,1934,1497
PRB16_22,1980,1556
PRB16_22,2026,1625
PRB16_22,2072,1758
PRB16_22,2118,1811
PRB16_22,2164,1864
PRB16_22,2210,1905
PRB16_22,2256,2019
PRB16_22,2302,2076
PRB16_22,2348,2188
PRB16_22,2394,2228
PRB16_22,2440,2360
PRB16_22,2486,2423
PRB16_22,2532,2546
PRB16_22,2578,2600
PRB16_22,2624,2680
PRB16_22,2670,2694
PRB16_22,2716,2827
PRB16_22,2762,2903
PRB16_23,0,0
PRB16_23,46,0
PRB16_23,92,0
PRB16_23,138,0
PRB16_23,184,0
PRB16_23,230,10
PRB16_23,276,8
PRB16_23,322,62
PRB16_23,368,73
PRB16_23,414,66
PRB16_23,460,38
PRB16_23,506,72
PRB16_23,552,124
PRB16_23,598,214
PRB16_23,644,350
PRB16_23,690,474
PRB16_23,736,560
PRB16_23,782,711
PRB16_23,828,825
PRB16_23,874,997
PRB16_23,920,1162
PRB16_23,967,1389
PRB16_23,1013,1606
PRB16_23,1059,1845
PRB16_23,1105,2063
PRB16_23,1151,2243
PRB16_23,1197,2528
PRB16_23,1243,2654
PRB16_23,1289,2871
PRB16_23,1335,3076
PRB16_23,1381,3364
PRB16_23,1427,3610
PRB16_23,1473,3859
PRB16_23,1519,4205
PRB16_23,1565,4556
PRB16_23,1611,4897
PRB16_23,1657,5128
PRB16_23,1703,5469
PRB16_23,1749,5785
PRB16_23,1795,6076
PRB16_23,1841,6326
PRB16_23,1888,6737
PRB16_23,1934,7036
PRB16_23,1980,7396
PRB16_23,2026,7711
PRB16_23,2072,8090
PRB16_23,2118,8408
PRB16_23,2164,8851
PRB16_23,2210,9236
PRB16_23,2256,9613
PRB16_23,2302,9900
PRB16_23,2348,10223
PRB16_23,2394,10559
PRB16_23,2440,10933
PRB16_23,2486,11233
PRB16_23,2532,11553
PRB16_23,2578,11918
PRB16_23,2624,12243
PRB16_23,2670,12666
PRB16_23,2716,13040
PRB16_23,2762,13513
PRB16_24,0,0
PRB16_24,46,0
PRB16_24,92,0
PRB16_24,138,0
PRB16_24,184,0
PRB16_24,230,0
PRB16_24,276,0
PRB16_24,322,0
PRB16_24,368,0
PRB16_24,414,1
PRB16_24,460,11
PRB16_24,506,15
PRB16_24,552,43
PRB16_24,598,207
PRB16_24,644,209
PRB16_24,690,310
PRB16_24,736,391
PRB16_24,782,492
PRB16_24,828,653
PRB16_24,874,739
PRB16_24,920,809
PRB16_24,967,973
PRB16_24,1013,1167
PRB16_24,1059,1410
PRB16_24,1105,1579
PRB16_24,1151,1816
PRB16_24,1197,2084
PRB16_24,1243,2321
PRB16_24,1289,2613
PRB16_24,1335,2844
PRB16_24,1381,3125
PRB16_24,1427,3356
PRB16_24,1473,3681
PRB16_24,1519,4006
PRB16_24,1565,4376
PRB16_24,1611,4668
PRB16_24,1657,4914
PRB16_24,1703,5158
PRB16_24,1749,5461
PRB16_24,1795,5755
PRB16_24,1841,6094
PRB16_24,1888,6454
PRB16_24,1934,6845
PRB16_24,1980,7267
PRB16_24,2026,7694
PRB16_24,2072,8127
PRB16_24,2118,8474
PRB16_24,2164,8963
PRB16_24,2210,9312
PRB16_24,2256,9821
PRB16_24,2302,10147
PRB16_24,2348,10642
PRB16_24,2394,11042
PRB16_24,2440,11597
PRB16_24,2486,11934
PRB16_24,2532,12385
PRB16_24,2578,12704
PRB16_24,2624,13140
PRB16_24,2670,13570
PRB16_24,2716,13983
PRB16_24,2762,14415
PRB16_25,0,0
PRB16_25,46,0
PRB16_25,92,0
PRB16_25,138,0
PRB16_25,184,0
PRB16_25,230,4
PRB16_25,276,13
PRB16_25,322,22
PRB16_25,368,20
PRB16_25,414,90
PRB16_25,460,51
PRB16_25,506,135
PRB16_25,552,159
PRB16_25,598,349
PRB16_25,644,367
PRB16_25,690,506
PRB16_25,736,671
PRB16_25,782,718
PRB16_25,828,811
PRB16_25,874,948
PRB16_25,920,1117
PRB16_25,967,1267
PRB16_25,1013,1500
PRB16_25,1059,1665
PRB16_25,1105,1833
PRB16_25,1151,2086
PRB16_25,1197,2323
PRB16_25,1243,2582
PRB16_25,1289,2916
PRB16_25,1335,3287
PRB16_25,1381,3584
PRB16_25,1427,4034
PRB16_25,1473,4237
PRB16_25,1519,4605
PRB16_25,1565,4889
PRB16_25,1611,5342
PRB16_25,1657,5706
PRB16_25,1703,6105
PRB16_25,1749,6507
PRB16_25,1795,6969
PRB16_25,1841,7368
PRB16_25,1888,7864
PRB16_25,1934,8372
PRB16_25,1980,8815
PRB16_25,2026,9368
PRB16_25,2072,9863
PRB16_25,2118,10286
PRB16_25,2164,10458
PRB16_25,2210,10877
PRB16_25,2256,11223
PRB16_25,2302,11729
PRB16_25,2348,12132
PRB16_25,2394,12676
