,Cell_type,Time,Spot,Spot_loc,Growth,Growth_normalized
TETRArcAKO16_12_414,TETRArcAKO16,414.0,TETRArcAKO16_12,260_622_7,7997.0,42.0
TETRArcAKO16_13_414,TETRArcAKO16,414.0,TETRArcAKO16_13,288_627_7,7905.0,72.0
TETRArcAKO16_14_414,TETRArcAKO16,414.0,TETRArcAKO16_14,288_317_5,3985.0,56.0
TETRArcAKO16_15_414,TETRArcAKO16,414.0,TETRArcAKO16_15,295_365_6,5287.0,44.0
TETRArcAKO16_16_414,TETRArcAKO16,414.0,TETRArcAKO16_16,343_961_5,4010.0,59.0
TETRArcAKO16_17_414,TETRArcAKO16,414.0,TETRArcAKO16_17,349_248_6,7216.0,29.0
TETRArcAKO16_18_414,TETRArcAKO16,414.0,TETRArcAKO16_18,358_514_6,5396.0,112.0
TETRArcAKO16_19_414,TETRArcAKO16,414.0,TETRArcAKO16_19,375_968_6,5548.0,75.0
TETRArcAKO16_20_414,TETRArcAKO16,414.0,TETRArcAKO16_20,376_151_7,6782.0,88.0
TETRArcAKO16_21_414,TETRArcAKO16,414.0,TETRArcAKO16_21,447_540_6,5489.0,63.0
TETRArcAKO16_22_414,TETRArcAKO16,414.0,TETRArcAKO16_22,448_500_5,3957.0,28.0
TETRArcAKO16_23_414,TETRArcAKO16,414.0,TETRArcAKO16_23,495_916_7,6637.0,64.0
TETRArcAKO16_24_414,TETRArcAKO16,414.0,TETRArcAKO16_24,497_256_6,4930.0,71.0
TETRArcAKO16_25_414,TETRArcAKO16,414.0,TETRArcAKO16_25,511_557_7,7996.0,67.0
TETRArcAKO16_26_414,TETRArcAKO16,414.0,TETRArcAKO16_26,516_994_7,8015.0,84.0
TETRArcAKO16_27_414,TETRArcAKO16,414.0,TETRArcAKO16_27,534_683_8,11440.0,131.0
TETRArcAKO16_28_414,TETRArcAKO16,414.0,TETRArcAKO16_28,582_417_7,5849.0,51.0
TETRArcAKO16_29_414,TETRArcAKO16,414.0,TETRArcAKO16_29,671_659_7,7147.0,94.0
TETRArcAKO16_30_414,TETRArcAKO16,414.0,TETRArcAKO16_30,747_418_7,5812.0,75.0
TETRArcAKO16_31_414,TETRArcAKO16,414.0,TETRArcAKO16_31,801_159_5,4218.0,68.0
TETRArcAKO16_32_414,TETRArcAKO16,414.0,TETRArcAKO16_32,880_863_8,9805.0,106.0
TETRArcAKO16_33_414,TETRArcAKO16,414.0,TETRArcAKO16_33,884_259_6,5563.0,68.0
TETRArcAKO16_34_414,TETRArcAKO16,414.0,TETRArcAKO16_34,972_570_6,5490.0,63.0
TETRArcAKO16_35_414,TETRArcAKO16,414.0,TETRArcAKO16_35,1036_861_6,5973.0,47.0
TETRArcAKO16_0_1795,TETRArcAKO16,1795.0,TETRArcAKO16_0,37_462_6,5582.0,739.0
TETRArcAKO16_1_1795,TETRArcAKO16,1795.0,TETRArcAKO16_1,69_1089_14,27114.0,308.0
TETRArcAKO16_2_1795,TETRArcAKO16,1795.0,TETRArcAKO16_2,114_680_8,8673.0,796.0
TETRArcAKO16_3_1795,TETRArcAKO16,1795.0,TETRArcAKO16_3,117_371_6,6194.0,810.0
TETRArcAKO16_4_1795,TETRArcAKO16,1795.0,TETRArcAKO16_4,153_682_7,9061.0,723.0
TETRArcAKO16_5_1795,TETRArcAKO16,1795.0,TETRArcAKO16_5,175_742_8,11159.0,1020.0
TETRArcAKO16_6_1795,TETRArcAKO16,1795.0,TETRArcAKO16_6,178_982_6,6852.0,908.0
TETRArcAKO16_7_1795,TETRArcAKO16,1795.0,TETRArcAKO16_7,185_704_8,12403.0,686.0
TETRArcAKO16_8_1795,TETRArcAKO16,1795.0,TETRArcAKO16_8,184_467_7,7425.0,627.0
TETRArcAKO16_9_1795,TETRArcAKO16,1795.0,TETRArcAKO16_9,205_1037_5,4625.0,685.0
TETRArcAKO16_10_1795,TETRArcAKO16,1795.0,TETRArcAKO16_10,212_309_7,8389.0,805.0
TETRArcAKO16_11_1795,TETRArcAKO16,1795.0,TETRArcAKO16_11,225_699_7,8739.0,1041.0
TETRArcAKO16_12_1795,TETRArcAKO16,1795.0,TETRArcAKO16_12,260_622_7,8892.0,937.0
TETRArcAKO16_13_1795,TETRArcAKO16,1795.0,TETRArcAKO16_13,288_627_7,8900.0,1067.0
TETRArcAKO16_14_1795,TETRArcAKO16,1795.0,TETRArcAKO16_14,288_317_5,4521.0,592.0
TETRArcAKO16_15_1795,TETRArcAKO16,1795.0,TETRArcAKO16_15,295_365_6,6105.0,862.0
TETRArcAKO16_16_1795,TETRArcAKO16,1795.0,TETRArcAKO16_16,343_961_5,4578.0,627.0
TETRArcAKO16_17_1795,TETRArcAKO16,1795.0,TETRArcAKO16_17,349_248_6,7280.0,93.0
TETRArcAKO16_18_1795,TETRArcAKO16,1795.0,TETRArcAKO16_18,358_514_6,6188.0,904.0
TETRArcAKO16_19_1795,TETRArcAKO16,1795.0,TETRArcAKO16_19,375_968_6,6200.0,727.0
TETRArcAKO16_20_1795,TETRArcAKO16,1795.0,TETRArcAKO16_20,376_151_7,7459.0,765.0
