,Cell_type,Time,Spot,Spot_loc,Growth
TetR16_28_2118,TetR16,2118.0,TetR16_28,1078_448_12,33077.0
TetR16_29_2118,TetR16,2118.0,TetR16_29,1093_87_11,25135.0
TetR16_0_184,TetR16,184.0,TetR16_0,4_1067_6,6529.0
TetR16_1_184,TetR16,184.0,TetR16_1,9_1000_6,7058.0
TetR16_2_184,TetR16,184.0,TetR16_2,32_882_12,24690.0
TetR16_3_184,TetR16,184.0,TetR16_3,240_375_12,23800.0
TetR16_4_184,TetR16,184.0,TetR16_4,251_1050_10,18120.0
TetR16_5_184,TetR16,184.0,TetR16_5,261_395_12,24963.0
TetR16_6_184,TetR16,184.0,TetR16_6,264_572_13,30545.0
TetR16_7_184,TetR16,184.0,TetR16_7,432_95_14,37532.0
TetR16_8_184,TetR16,184.0,TetR16_8,449_881_11,22150.0
TetR16_9_184,TetR16,184.0,TetR16_9,468_705_12,26957.0
TetR16_10_184,TetR16,184.0,TetR16_10,484_457_14,36298.0
TetR16_11_184,TetR16,184.0,TetR16_11,543_1020_14,35837.0
TetR16_12_184,TetR16,184.0,TetR16_12,570_461_20,55485.0
TetR16_13_184,TetR16,184.0,TetR16_13,600_646_10,15143.0
TetR16_14_184,TetR16,184.0,TetR16_14,605_15_9,15704.0
TetR16_15_184,TetR16,184.0,TetR16_15,633_800_15,36613.0
TetR16_16_184,TetR16,184.0,TetR16_16,635_263_15,35048.0
TetR16_17_184,TetR16,184.0,TetR16_17,660_667_13,32751.0
TetR16_18_184,TetR16,184.0,TetR16_18,731_512_10,16319.0
TetR16_19_184,TetR16,184.0,TetR16_19,739_224_13,29425.0
TetR16_20_184,TetR16,184.0,TetR16_20,765_836_10,16098.0
TetR16_21_184,TetR16,184.0,TetR16_21,774_388_13,30381.0
TetR16_22_184,TetR16,184.0,TetR16_22,856_127_10,17208.0
TetR16_23_184,TetR16,184.0,TetR16_23,875_227_10,16740.0
TetR16_24_184,TetR16,184.0,TetR16_24,890_634_10,17697.0
TetR16_25_184,TetR16,184.0,TetR16_25,1024_515_14,37333.0
TetR16_26_184,TetR16,184.0,TetR16_26,1027_572_13,29201.0
TetR16_27_184,TetR16,184.0,TetR16_27,1065_1014_13,32890.0
TetR16_28_184,TetR16,184.0,TetR16_28,1078_448_12,26627.0
TetR16_29_184,TetR16,184.0,TetR16_29,1093_87_11,20926.0
TetR16_0_0,TetR16,0.0,TetR16_0,4_1067_6,6559.0
TetR16_1_0,TetR16,0.0,TetR16_1,9_1000_6,7102.0
TetR16_2_0,TetR16,0.0,TetR16_2,32_882_12,24729.0
TetR16_3_0,TetR16,0.0,TetR16_3,240_375_12,23803.0
TetR16_4_0,TetR16,0.0,TetR16_4,251_1050_10,18126.0
TetR16_5_0,TetR16,0.0,TetR16_5,261_395_12,25008.0
TetR16_6_0,TetR16,0.0,TetR16_6,264_572_13,30518.0
TetR16_7_0,TetR16,0.0,TetR16_7,432_95_14,37575.0
TetR16_8_0,TetR16,0.0,TetR16_8,449_881_11,22198.0
TetR16_9_0,TetR16,0.0,TetR16_9,468_705_12,26974.0
TetR16_10_0,TetR16,0.0,TetR16_10,484_457_14,36292.0
TetR16_11_0,TetR16,0.0,TetR16_11,543_1020_14,35804.0
TetR16_12_0,TetR16,0.0,TetR16_12,570_461_20,55518.0
TetR16_13_0,TetR16,0.0,TetR16_13,600_646_10,15150.0
TetR16_14_0,TetR16,0.0,TetR16_14,605_15_9,15730.0
TetR16_15_0,TetR16,0.0,TetR16_15,633_800_15,36743.0
TetR16_16_0,TetR16,0.0,TetR16_16,635_263_15,35130.0
TetR16_17_0,TetR16,0.0,TetR16_17,660_667_13,32780.0
TetR16_18_0,TetR16,0.0,TetR16_18,731_512_10,16345.0
TetR16_19_0,TetR16,0.0,TetR16_19,739_224_13,29479.0
TetR16_20_0,TetR16,0.0,TetR16_20,765_836_10,16117.0
TetR16_21_0,TetR16,0.0,TetR16_21,774_388_13,30351.0
TetR16_22_0,TetR16,0.0,TetR16_22,856_127_10,17196.0
TetR16_23_0,TetR16,0.0,TetR16_23,875_227_10,16730.0
TetR16_24_0,TetR16,0.0,TetR16_24,890_634_10,17668.0
TetR16_25_0,TetR16,0.0,TetR16_25,1024_515_14,37259.0
TetR16_26_0,TetR16,0.0,TetR16_26,1027_572_13,29208.0
TetR16_27_0,TetR16,0.0,TetR16_27,1065_1014_13,32907.0
TetR16_28_0,TetR16,0.0,TetR16_28,1078_448_12,26664.0
TetR16_29_0,TetR16,0.0,TetR16_29,1093_87_11,20947.0
TetR16_0_230,TetR16,230.0,TetR16_0,4_1067_6,6530.0
TetR16_1_230,TetR16,230.0,TetR16_1,9_1000_6,7069.0
TetR16_2_230,TetR16,230.0,TetR16_2,32_882_12,24744.0
TetR16_3_230,TetR16,230.0,TetR16_3,240_375_12,23781.0
TetR16_4_230,TetR16,230.0,TetR16_4,251_1050_10,18158.0
TetR16_5_230,TetR16,230.0,TetR16_5,261_395_12,25061.0
TetR16_6_230,TetR16,230.0,TetR16_6,264_572_13,30602.0
TetR16_7_230,TetR16,230.0,TetR16_7,432_95_14,37554.0
TetR16_8_230,TetR16,230.0,TetR16_8,449_881_11,22250.0
TetR16_9_230,TetR16,230.0,TetR16_9,468_705_12,26969.0
TetR16_10_230,TetR16,230.0,TetR16_10,484_457_14,36292.0
TetR16_11_230,TetR16,230.0,TetR16_11,543_1020_14,35855.0
TetR16_12_230,TetR16,230.0,TetR16_12,570_461_20,55542.0
TetR16_13_230,TetR16,230.0,TetR16_13,600_646_10,15142.0
TetR16_14_230,TetR16,230.0,TetR16_14,605_15_9,15719.0
TetR16_15_230,TetR16,230.0,TetR16_15,633_800_15,36696.0
TetR16_16_230,TetR16,230.0,TetR16_16,635_263_15,35084.0
TetR16_17_230,TetR16,230.0,TetR16_17,660_667_13,32778.0
TetR16_18_230,TetR16,230.0,TetR16_18,731_512_10,16355.0
TetR16_19_230,TetR16,230.0,TetR16_19,739_224_13,29518.0
TetR16_20_230,TetR16,230.0,TetR16_20,765_836_10,16124.0
TetR16_21_230,TetR16,230.0,TetR16_21,774_388_13,30386.0
TetR16_22_230,TetR16,230.0,TetR16_22,856_127_10,17244.0
TetR16_23_230,TetR16,230.0,TetR16_23,875_227_10,16734.0
TetR16_24_230,TetR16,230.0,TetR16_24,890_634_10,17704.0
TetR16_25_230,TetR16,230.0,TetR16_25,1024_515_14,37396.0
TetR16_26_230,TetR16,230.0,TetR16_26,1027_572_13,29276.0
TetR16_27_230,TetR16,230.0,TetR16_27,1065_1014_13,32914.0
TetR16_28_230,TetR16,230.0,TetR16_28,1078_448_12,26660.0
TetR16_29_230,TetR16,230.0,TetR16_29,1093_87_11,20949.0
TetR16_0_967,TetR16,967.0,TetR16_0,4_1067_6,6503.0
TetR16_1_967,TetR16,967.0,TetR16_1,9_1000_6,7080.0
TetR16_2_967,TetR16,967.0,TetR16_2,32_882_12,25267.0
TetR16_3_967,TetR16,967.0,TetR16_3,240_375_12,24192.0
TetR16_4_967,TetR16,967.0,TetR16_4,251_1050_10,18485.0
TetR16_5_967,TetR16,967.0,TetR16_5,261_395_12,25756.0
TetR16_6_967,TetR16,967.0,TetR16_6,264_572_13,32251.0
TetR16_7_967,TetR16,967.0,TetR16_7,432_95_14,38152.0
TetR16_8_967,TetR16,967.0,TetR16_8,449_881_11,22604.0
TetR16_9_967,TetR16,967.0,TetR16_9,468_705_12,27993.0
TetR16_10_967,TetR16,967.0,TetR16_10,484_457_14,37659.0
TetR16_11_967,TetR16,967.0,TetR16_11,543_1020_14,37123.0
TetR16_12_967,TetR16,967.0,TetR16_12,570_461_20,57413.0
TetR16_13_967,TetR16,967.0,TetR16_13,600_646_10,15605.0
TetR16_14_967,TetR16,967.0,TetR16_14,605_15_9,16047.0
TetR16_15_967,TetR16,967.0,TetR16_15,633_800_15,38458.0
TetR16_16_967,TetR16,967.0,TetR16_16,635_263_15,36152.0
TetR16_17_967,TetR16,967.0,TetR16_17,660_667_13,34324.0
TetR16_18_967,TetR16,967.0,TetR16_18,731_512_10,16841.0
TetR16_19_967,TetR16,967.0,TetR16_19,739_224_13,30555.0
TetR16_20_967,TetR16,967.0,TetR16_20,765_836_10,16365.0
TetR16_21_967,TetR16,967.0,TetR16_21,774_388_13,31356.0
TetR16_22_967,TetR16,967.0,TetR16_22,856_127_10,17788.0
TetR16_23_967,TetR16,967.0,TetR16_23,875_227_10,17211.0
TetR16_24_967,TetR16,967.0,TetR16_24,890_634_10,18239.0
TetR16_25_967,TetR16,967.0,TetR16_25,1024_515_14,39812.0
TetR16_26_967,TetR16,967.0,TetR16_26,1027_572_13,30561.0
TetR16_27_967,TetR16,967.0,TetR16_27,1065_1014_13,33874.0
TetR16_28_967,TetR16,967.0,TetR16_28,1078_448_12,27963.0
TetR16_29_967,TetR16,967.0,TetR16_29,1093_87_11,21535.0
TetR16_0_552,TetR16,552.0,TetR16_0,4_1067_6,6510.0
TetR16_1_552,TetR16,552.0,TetR16_1,9_1000_6,7067.0
TetR16_2_552,TetR16,552.0,TetR16_2,32_882_12,24749.0
TetR16_3_552,TetR16,552.0,TetR16_3,240_375_12,23862.0
TetR16_4_552,TetR16,552.0,TetR16_4,251_1050_10,18206.0
TetR16_5_552,TetR16,552.0,TetR16_5,261_395_12,25099.0
TetR16_6_552,TetR16,552.0,TetR16_6,264_572_13,30913.0
TetR16_7_552,TetR16,552.0,TetR16_7,432_95_14,37642.0
TetR16_8_552,TetR16,552.0,TetR16_8,449_881_11,22259.0
