Corem,Genes
528015,b0651;b0679;b0757;b0758;b0759;b0904;b0919;b1127;b1256;b2964;b3416;b3417;b3418;b3707;b3708;b3749;b4122;b4139;b4021;b3942;b1594;b1976;b2426;b2805;b4151;b4152;b4153;b4154;b4238
528231,b0029;b1269;b2231;b2411;b2581;b3232;b3368;b3613;b3699;b3778;b3813;b3865;b4053;b4160;b4162;b4233;b4388;b4389;b2819
528243,b0636;b0835;b1269;b1807;b2581;b3016;b4049
528469,b0453;b0871;b1051;b1197;b1276;b1732;b1897;b1967;b2465;b4376
528615,b1185;b1284;b2413
528619,b0186;b0707;b1285;b1454;b1614;b1668;b1990;b3153
528622,b0453;b1285;b1614;b4376
528626,b0803;b1285;b1614;b1679;b1680;b1681;b1682;b1683;b1684;b3291
528631,b1045;b1235;b1285;b1327;b1399;b1668;b1678;b1990;b2302;b2347;b2602
528667,b0828;b1287;b1729;b1920;b2012;b2013;b2414;b2421;b2422;b2423;b2424;b2425;b2750;b2751;b2752;b2762;b2763;b2764;b3917
528719,b0112;b1290;b1291;b1293;b1294;b2600;b2601;b1704
528726,b0050;b0051;b0052;b0639;b0641;b1294;b1290;b1291
528728,b0781;b0782;b0783;b0785;b1290;b1291;b1294
528731,b0829;b0830;b0831;b0832;b1290;b1291;b1292;b1293;b1294
528740,b0089;b1117;b1118;b1291;b1290;b1293;b1294
528746,b1261;b1262;b1263;b1264;b1290;b1292;b1293;b1291
528767,b1290;b1291;b1292;b1293;b1294
528915,b1006;b1007;b1009;b1303;b1306;b1304
528916,b1060;b1303;b1304;b1305;b1306;b1307;b1308;b1563;b1743;b1846;b2340;b2833;b3021;b3022
529031,b1310;b1312;b1313;b1317;b1319;b1388;b1389;b1390;b1396
529067,b1310;b1312;b1313;b1314;b1315;b1317;b1319;b1388;b1389;b1390;b1396
529316,b0792;b0793;b0794;b1327;b2638
529321,b1103;b1104;b1327;b1399;b1585;b1586;b2602
530181,b1310;b1317;b1319;b1358;b1362;b1388;b1389;b1390;b1396
530953,b0649;b1386;b1409
532115,b0221;b0346;b0598;b1296;b1297;b1298;b1300;b1301;b1398;b1415;b1440;b1441;b1442;b1443;b1444;b1748;b2149;b2150;b2310;b2341;b2342;b2537;b2844;b2980;b3450;b3451;b3452;b3453;b3528;b3603;b3604;b3605;b3845;b3846;b3926;b3927;b4067;b4068;b4069;b4216;b4227;b4228;b4229;b4230;b4231;b4304;b4305;b1487;b1744;b1746;b1747;b1483;b1484;b1486;b1488;b1485;b4300;b4302
532117,b0880;b1002;b1205;b1376;b1406;b1440;b1441;b1443;b1444;b2584;b2597;b2877;b3001;b3087;b4188;b4189;b4228;b4227;b4230;b4301;b4302;b4305;b4229;b4231;b4304
532123,b1440;b1441;b1442;b1443;b1444;b4227;b4228;b4229;b4230;b4231;b4300;b4301;b4302;b4304;b4305
532838,b0283;b0284;b0285;b1466;b1467;b1468;b1469
532853,b1259;b1466;b1467;b1955
532855,b1197;b1276;b1467;b1468;b1469;b1466
532871,b0972;b0973;b0974;b0975;b0977;b0978;b0979;b0980;b1467;b1468;b1469
532879,b1466;b1467;b1468;b1469
533086,b0384;b0453;b0897;b1478;b1795;b3024;b2266;b1732;b2464;b2465;b4376;b3362
533163,b0117;b0317;b0318;b0319;b0320;b0321;b0323;b0504;b0505;b0614;b0615;b0617;b0823;b1484;b1485;b1483;b1486;b1488;b1526
533167,b0507;b0547;b0548;b0549;b0824;b1155;b1156;b1484;b1485;b1486;b1483;b1488;b1525
533192,b1006;b1007;b1008;b1009;b1301;b1484;b1485;b1486;b1487;b1488;b1483
533836,b0598;b1511;b1512;b1516;b1517;b1518;b1513;b4216;b2537
533839,b0221;b1296;b1297;b1298;b1300;b1301;b1511;b1512;b1513;b1515;b1516;b1517;b2341;b3451
533842,b0880;b1002;b1376;b1406;b1511;b1512;b1513;b1515;b1516;b1517;b1518;b2584;b3001;b2877;b4188;b4189
533845,b1440;b1441;b1442;b1443;b1444;b1511;b1512;b1513;b1515;b1516;b1517;b1518;b4227;b4228;b4229;b4230;b4231;b4304;b4305;b4300;b4301
533848,b1511;b1512;b1513;b1515;b1516;b1517;b1518
534126,b0135;b0136;b0141;b1527;b4066;b2345
534135,b1001;b1527;b1730;b1936;b2345;b2650;b3120;b3121;b4047;b4066;b4325
534467,b1060;b2343;b3021;b3022;b1541;b1906;b3156;b3157;b3945;b4329;b4330;b2833
535079,b1060;b1327;b1399;b1563;b1585;b1586;b1743;b2602;b2638;b1846;b2340;b3022;b2833
535982,b1243;b1244;b1245;b1246;b1247;b1854;b1590
536041,b1304;b1305;b1308;b1594;b1846;b1853;b1976;b2126;b2151;b2426;b2805;b3707;b4139;b2340
536158,b1285;b1598;b1668;b1815;b1990
537196,b0636;b1627;b1628;b1629;b1630;b1631;b1632;b1633;b1822;b3015;b3016
537197,b1627;b1628;b1629;b1630;b1631;b1632;b1633;b3015
537969,b0405;b0423;b0636;b0835;b1652;b1807;b1822;b1835;b3016;b4049
537992,b1203;b1281;b1652;b1835
