Spot,Time,Growth,Growth_normalized
TetR_16,2439,110005,15074
TetR_16,2470,109971,15040
TetR_16,2501,109892,14961
TetR_16,2532,109929,14998
TetR_16,2562,109757,14826
TetR_16,2593,109524,14593
TetR_16,2624,109680,14749
TetR_16,2655,109716,14785
TetR_16,2686,109543,14612
TetR_16,2717,109816,14885
TetR_16,2748,109744,14813
TetR_16,2779,109743,14812
TetR_16,2809,109850,14919
TetR_16,2840,109926,14995
TetR_16,2871,110041,15110
TetR_16,2902,110051,15120
TetR_17,0,59801,0
TetR_17,30,59120,0
TetR_17,61,58854,0
TetR_17,92,58860,0
TetR_17,123,58872,0
TetR_17,154,58764,0
TetR_17,185,58784,0
TetR_17,216,58712,0
TetR_17,247,58692,0
TetR_17,278,58713,0
TetR_17,309,58785,0
TetR_17,340,58825,0
TetR_17,371,58810,0
TetR_17,402,58803,0
TetR_17,432,58804,0
TetR_17,463,58794,0
TetR_17,494,58780,0
TetR_17,525,58801,0
TetR_17,556,58787,0
TetR_17,587,58928,0
TetR_17,618,59425,0
TetR_17,649,59951,150
TetR_17,679,60576,775
TetR_17,710,61069,1268
TetR_17,741,61355,1554
TetR_17,772,61300,1499
TetR_17,803,61662,1861
TetR_17,834,61919,2118
TetR_17,865,62257,2456
TetR_17,896,62241,2440
TetR_17,926,62674,2873
TetR_17,957,63060,3259
TetR_17,988,63489,3688
TetR_17,1019,63631,3830
TetR_17,1050,64169,4368
TetR_17,1081,64570,4769
TetR_17,1112,64843,5042
TetR_17,1142,65464,5663
TetR_17,1173,65672,5871
TetR_17,1204,66098,6297
TetR_17,1235,66134,6333
TetR_17,1266,66772,6971
TetR_17,1297,67475,7674
TetR_17,1328,68170,8369
TetR_17,1359,68896,9095
TetR_17,1389,68989,9188
TetR_17,1420,69472,9671
TetR_17,1451,69982,10181
TetR_17,1482,70259,10458
TetR_17,1513,70516,10715
TetR_17,1544,70518,10717
TetR_17,1575,70718,10917
TetR_17,1606,70711,10910
TetR_17,1636,70796,10995
TetR_17,1667,70870,11069
TetR_17,1698,70929,11128
TetR_17,1729,71010,11209
TetR_17,1760,71029,11228
TetR_17,1791,71047,11246
TetR_17,1822,71152,11351
TetR_17,1852,71178,11377
TetR_17,1883,71188,11387
TetR_17,1914,71316,11515
TetR_17,1945,71270,11469
TetR_17,1976,71320,11519
TetR_17,2007,71397,11596
TetR_17,2038,71395,11594
TetR_17,2069,71269,11468
TetR_17,2099,71318,11517
TetR_17,2130,71433,11632
TetR_17,2161,71352,11551
TetR_17,2192,71284,11483
TetR_17,2223,71274,11473
TetR_17,2254,71160,11359
TetR_17,2285,71124,11323
TetR_17,2316,71121,11320
TetR_17,2346,71140,11339
TetR_17,2377,71045,11244
TetR_17,2408,70963,11162
TetR_17,2439,70858,11057
TetR_17,2470,70828,11027
TetR_17,2501,70634,10833
TetR_17,2532,70545,10744
TetR_17,2562,70464,10663
TetR_17,2593,70284,10483
TetR_17,2624,70411,10610
TetR_17,2655,70345,10544
TetR_17,2686,70285,10484
TetR_17,2717,70215,10414
TetR_17,2748,70250,10449
TetR_17,2779,70077,10276
TetR_17,2809,70223,10422
TetR_17,2840,70213,10412
TetR_17,2871,70378,10577
TetR_17,2902,70268,10467
TetR_18,0,70242,0
TetR_18,30,69220,0
TetR_18,61,68866,0
TetR_18,92,68791,0
TetR_18,123,68723,0
TetR_18,154,68572,0
TetR_18,185,68664,0
TetR_18,216,68709,0
TetR_18,247,68600,0
TetR_18,278,68713,0
TetR_18,309,68709,0
TetR_18,340,68764,0
TetR_18,371,68755,0
TetR_18,402,68735,0
TetR_18,432,68688,0
TetR_18,463,68763,0
